Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1504052004,4,T1_Markup,avg_completion,1.0,3,Lubuk Ruso
1504052008,5,T1_Markup,avg_completion,1.0,3,Ture
1504052009,4,Unclassified,activity_category,1.0,3,Pulau Betung
1504052012,4,T1_Markup,avg_completion,1.0,3,Teluk
1504052017,4,Unclassified,avg_completion,1.0,3,Olak Rambahan
1504062001,8,Unclassified,activity_category,1.0,3,Batu Sawar
1504062003,4,Unclassified,avg_completion,1.0,3,Teluk Leban
1502192003,5,T7_CrossCatDump,activity_category,1.0,3,Rasau
1502212001,7,T1_Markup,cost_per_unit,1.0,3,Tanjung Rejo
1502212003,3,T2_Ghost,activity_category,1.0,3,Suko Rejo
1504032017,5,T7_CrossCatDump,avg_completion,1.0,3,Singkawang
1504032018,5,Unclassified,avg_completion,1.0,3,Tenam
1504032020,4,T1_Markup,activity_category,1.0,3,Kilangan
1504042001,5,Unclassified,cost_per_unit,1.0,3,Jelutih
1504042005,5,T1_Markup,activity_category,1.0,3,Paku Aji
1504042015,4,Unclassified,avg_completion,1.0,3,Bulian Baru
1504042017,5,T1_Markup,cost_per_unit,1.0,3,Simpang Aur Gading
1504052003,9,T7_CrossCatDump,activity_category,1.0,3,Serasah
1503012016,3,T1_Markup,activity_category,1.0,3,Muara Cuban
1503022007,3,T1_Markup,cost_deviation_by_category,1.0,3,Ranggo
1504022007,4,T1_Markup,activity_category,1.0,3,Rantau Kapas Tuo
1504022008,5,T7_CrossCatDump,activity_category,1.0,3,Sungai Pulai
1504022013,6,T1_Markup,swakelola_high_value,1.0,3,Pelayangan
1504022015,5,T1_Markup,activity_category,1.0,3,Pematang Lima Suku
1504032006,6,T1_Markup,activity_category,1.0,3,Pasar Terusan
1504032011,7,Unclassified,cost_deviation_by_category,1.0,3,Olak
1504032012,5,T1_Markup,activity_category,1.0,3,Muaro Singoan
1504032014,4,T1_Markup,avg_completion,1.0,3,Rantau Puri
1504012005,5,T2_Ghost,avg_completion,1.0,3,Kembang Tanjung
1504012007,3,Unclassified,activity_category,1.0,3,Benteng Rendah
1504012009,7,Unclassified,activity_category,1.0,3,Rantau Gedang
1504012010,7,T1_Markup,activity_category,1.0,3,Pematang Gadung
1503072005,4,T2_Ghost,avg_completion,1.0,3,Lubuk Kepayang
1503082007,3,T1_Markup,avg_completion,1.0,3,Pulaumelako
1503082008,4,T7_CrossCatDump,activity_category,1.0,3,Batu Penyabung
1503082010,3,T2_Ghost,activity_category,1.0,2,Pulaubuayo
1503082015,3,T1_Markup,cost_deviation_by_category,1.0,3,Teluk Mancur
1503092003,4,T2_Ghost,activity_category,1.0,3,Sungaigedang
