No,Kode_Provinsi,Provinsi,Kode_Lokasi,Kabupaten_Kota,Kode_Desa,Nama_Desa,Pagu
1,10,JAMBI,1001,KAB. BATANGHARI,1504012002,Sengkati Kecil,773374000
2,10,JAMBI,1001,KAB. BATANGHARI,1504012003,Sengkati Gedang,758845000
3,10,JAMBI,1001,KAB. BATANGHARI,1504012004,Sengkati Baru,829309000
4,10,JAMBI,1001,KAB. BATANGHARI,1504012005,Kembang Tanjung,903642000
5,10,JAMBI,1001,KAB. BATANGHARI,1504012006,Mersam,840209000
6,10,JAMBI,1001,KAB. BATANGHARI,1504012007,Benteng Rendah,821085000
7,10,JAMBI,1001,KAB. BATANGHARI,1504012008,Sungai Puar,706334000
8,10,JAMBI,1001,KAB. BATANGHARI,1504012009,Rantau Gedang,763485000
9,10,JAMBI,1001,KAB. BATANGHARI,1504012010,Pematang Gadung,807059000
10,10,JAMBI,1001,KAB. BATANGHARI,1504012011,Teluk Melintang,623211000
11,10,JAMBI,1001,KAB. BATANGHARI,1504012012,Bukit Harapan,968943000
12,10,JAMBI,1001,KAB. BATANGHARI,1504012013,Belanti Jaya,777042000
13,10,JAMBI,1001,KAB. BATANGHARI,1504012014,Tapah Sari,782337000
14,10,JAMBI,1001,KAB. BATANGHARI,1504012015,Bukit Kemuning,652340000
15,10,JAMBI,1001,KAB. BATANGHARI,1504012016,Simpang Rantau Gedang,780401000
16,10,JAMBI,1001,KAB. BATANGHARI,1504012017,Tanjung Putra,941875000
17,10,JAMBI,1001,KAB. BATANGHARI,1504012018,Sengkati Mudo,857445000
18,10,JAMBI,1001,KAB. BATANGHARI,1504022003,Jebak,1010689000
19,10,JAMBI,1001,KAB. BATANGHARI,1504022004,Ampelu,811721000
20,10,JAMBI,1001,KAB. BATANGHARI,1504022005,Rambutan Masam,952082000
21,10,JAMBI,1001,KAB. BATANGHARI,1504022006,Rantau Kapas Mudo,816464000
22,10,JAMBI,1001,KAB. BATANGHARI,1504022007,Rantau Kapas Tuo,762613000
23,10,JAMBI,1001,KAB. BATANGHARI,1504022008,Sungai Pulai,773844000
24,10,JAMBI,1001,KAB. BATANGHARI,1504022009,Pulau,908189000
25,10,JAMBI,1001,KAB. BATANGHARI,1504022010,Tanjung Marwo,888132000
26,10,JAMBI,1001,KAB. BATANGHARI,1504022011,Suka Ramai,760364000
27,10,JAMBI,1001,KAB. BATANGHARI,1504022012,Ampelu Mudo,680958000
